Date_of_journey,Journey_day,Airline,Flight_code,Class,Source,Departure,Total_stops,Arrival,Destination,Duration_in_hours,Days_left,Fare
2023-01-25,Wednesday,Indigo,6E-7073,Economy,Ahmedabad,Before 6 AM,1-stop,12 PM - 6 PM,Kolkata,8.0,10.0,18723.0
2023-01-16,Monday,Indigo,6E-348,Economy,Ahmedabad,After 6 PM,non-stop,After 6 PM,Chennai,2.4167,1.0,11736.0
26-06-2023,,SpiceJet,SG-8157,economy,Delhi,06:20,non-stop,08:40,Mumbai,02h 20m,,6013.0
26-06-2023,,GO FIRST,G8-338,economy,Delhi,10:30,non-stop,12:50,Mumbai,02h 20m,,6014.0
26-06-2023,,Indigo,6E-5001,economy,Delhi,07:15,non-stop,09:25,Mumbai,02h 10m,,6015.0
26-06-2023,,Indigo,6E-549,economy,Delhi,14:20,non-stop,16:35,Mumbai,02h 15m,,6015.0
26-06-2023,,Indigo,6E-6278,economy,Delhi,08:45,non-stop,11:05,Mumbai,02h 20m,,6015.0
26-06-2023,,AirAsia,I5-747,economy,Delhi,19:00,1-stop,07:15,Mumbai,12h 15m,,6008.0
26-06-2023,,GO FIRST,G8-266,economy,Delhi,06:25,1-stop,18:10,Mumbai,11h 45m,,6014.0
26-06-2023,,GO FIRST,G8-103,economy,Delhi,19:25,1-stop,11:05,Mumbai,15h 40m,,6014.0
26-06-2023,,Indigo,6E-5328,economy,Delhi,09:30,non-stop,12:00,Mumbai,02h 30m,,6227.0
26-06-2023,,Indigo,6E-5041,economy,Delhi,18:40,non-stop,20:50,Mumbai,02h 10m,,10575.0
26-06-2023,,GO FIRST,G8-165,economy,Delhi,06:05,1-stop,14:05,Mumbai,08h 00m,,10681.0
