Date_of_journey,Journey_day,Airline,Flight_code,Class,Source,Departure,Total_stops,Arrival,Destination,Duration_in_hours,Days_left,Fare
2023-01-16,Monday,SpiceJet,SG-8169,Economy,Delhi,After 6 PM,non-stop,After 6 PM,Mumbai,2.0833,1.0,5335.0
2023-01-16,Monday,Indigo,6E-2519,Economy,Delhi,After 6 PM,non-stop,Before 6 AM,Mumbai,2.3333,1.0,5899.0
2023-01-16,Monday,GO FIRST,G8-354,Economy,Delhi,After 6 PM,non-stop,Before 6 AM,Mumbai,2.1667,1.0,5801.0
2023-01-16,Monday,SpiceJet,SG-8709,Economy,Delhi,After 6 PM,non-stop,After 6 PM,Mumbai,2.0833,1.0,5794.0
2023-01-16,Monday,Air India,AI-805,Economy,Delhi,After 6 PM,non-stop,After 6 PM,Mumbai,2.1667,1.0,5955.0
2023-01-16,Monday,Air India,AI-605,Economy,Delhi,After 6 PM,non-stop,After 6 PM,Mumbai,2.25,1.0,5955.0
2023-01-16,Monday,Air India,AI-814,Economy,Delhi,After 6 PM,non-stop,Before 6 AM,Mumbai,2.25,1.0,5955.0
2023-01-16,Monday,GO FIRST,G8-330,Economy,Delhi,After 6 PM,non-stop,After 6 PM,Mumbai,2.25,1.0,5899.0
2023-01-16,Monday,SpiceJet,SG-2976,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,14.3333,1.0,5829.0
2023-01-16,Monday,GO FIRST,G8-346,Economy,Delhi,After 6 PM,non-stop,After 6 PM,Mumbai,2.0833,1.0,5899.0
2023-01-16,Monday,AirAsia,I5-743,Economy,Delhi,Before 6 AM,1-stop,After 6 PM,Mumbai,14.6667,1.0,6640.0
2023-01-16,Monday,Indigo,6E-2208,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,8.6667,1.0,6390.0
2023-01-16,Monday,AirAsia,I5-857,Economy,Delhi,After 6 PM,1-stop,Before 6 AM,Mumbai,5.5833,1.0,6872.0
2023-01-16,Monday,AirAsia,I5-773,Economy,Delhi,After 6 PM,1-stop,Before 6 AM,Mumbai,6.3333,1.0,6872.0
2023-01-16,Monday,AirAsia,I5-784,Economy,Delhi,12 PM - 6 PM,1-stop,Before 6 AM,Mumbai,8.1667,1.0,6872.0
2023-01-16,Monday,AirAsia,I5-1228,Economy,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,9.5,1.0,6872.0
2023-01-16,Monday,AirAsia,I5-740,Economy,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,10.8333,1.0,6872.0
2023-01-16,Monday,AirAsia,I5-798,Economy,Delhi,12 PM - 6 PM,1-stop,Before 6 AM,Mumbai,13.5833,1.0,6872.0
2023-01-16,Monday,Indigo,6E-2017,Economy,Delhi,After 6 PM,non-stop,After 6 PM,Mumbai,2.1667,1.0,7319.0
2023-01-16,Monday,Indigo,6E-2176,Economy,Delhi,12 PM - 6 PM,non-stop,12 PM - 6 PM,Mumbai,2.25,1.0,7319.0
2023-01-16,Monday,Indigo,6E-864,Economy,Delhi,12 PM - 6 PM,non-stop,After 6 PM,Mumbai,2.25,1.0,7319.0
2023-01-16,Monday,Indigo,6E-2084,Economy,Delhi,After 6 PM,non-stop,After 6 PM,Mumbai,2.25,1.0,7319.0
2023-01-16,Monday,Indigo,6E-2114,Economy,Delhi,After 6 PM,non-stop,Before 6 AM,Mumbai,2.25,1.0,7319.0
2023-01-16,Monday,Indigo,6E-2138,Economy,Delhi,12 PM - 6 PM,non-stop,12 PM - 6 PM,Mumbai,2.3333,1.0,7319.0
2023-01-16,Monday,Vistara,UK-985,Economy,Delhi,After 6 PM,non-stop,After 6 PM,Mumbai,2.25,1.0,7320.0
2023-01-16,Monday,GO FIRST,G8-336,Economy,Delhi,12 PM - 6 PM,non-stop,12 PM - 6 PM,Mumbai,2.1667,1.0,7321.0
2023-01-16,Monday,GO FIRST,G8-184,Economy,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,7.5,1.0,6873.0
2023-01-16,Monday,GO FIRST,G8-143,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,9.0833,1.0,6873.0
2023-01-16,Monday,GO FIRST,G8-237,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,9.75,1.0,6873.0
2023-01-16,Monday,GO FIRST,G8-2519,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,14.1667,1.0,6873.0
2023-01-16,Monday,GO FIRST,G8-113,Economy,Delhi,Before 6 AM,1-stop,After 6 PM,Mumbai,14.8333,1.0,6873.0
2023-01-16,Monday,Air India,AI-813,Economy,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,13.5,1.0,7194.0
2023-01-16,Monday,Indigo,6E-2716,Economy,Delhi,Before 6 AM,non-stop,Before 6 AM,Mumbai,2.25,1.0,7319.0
2023-01-16,Monday,Indigo,6E-5318,Economy,Delhi,12 PM - 6 PM,non-stop,After 6 PM,Mumbai,2.25,1.0,7319.0
2023-01-16,Monday,Indigo,6E-2505,Economy,Delhi,6 AM - 12 PM,non-stop,12 PM - 6 PM,Mumbai,2.3333,1.0,7319.0
2023-01-16,Monday,Indigo,6E-2112,Economy,Delhi,Before 6 AM,non-stop,6 AM - 12 PM,Mumbai,2.5,1.0,7319.0
2023-01-16,Monday,Air India,AI-863,Economy,Delhi,12 PM - 6 PM,non-stop,12 PM - 6 PM,Mumbai,2.3333,1.0,7320.0
2023-01-16,Monday,Air India,AI-624,Economy,Delhi,After 6 PM,non-stop,After 6 PM,Mumbai,2.4167,1.0,7320.0
2023-01-16,Monday,GO FIRST,G8-323,Economy,Delhi,12 PM - 6 PM,non-stop,After 6 PM,Mumbai,2.25,1.0,7321.0
2023-01-16,Monday,Vistara,UK-627,Economy,Delhi,12 PM - 6 PM,1-stop,12 PM - 6 PM,Mumbai,24.75,1.0,8055.0
2023-01-16,Monday,Indigo,6E-2075,Economy,Delhi,6 AM - 12 PM,non-stop,6 AM - 12 PM,Mumbai,1.9167,1.0,7844.0
2023-01-16,Monday,Indigo,6E-2016,Economy,Delhi,12 PM - 6 PM,non-stop,After 6 PM,Mumbai,2.25,1.0,7844.0
2023-01-16,Monday,Indigo,6E-6814,Economy,Delhi,6 AM - 12 PM,non-stop,6 AM - 12 PM,Mumbai,2.4167,1.0,7844.0
2023-01-16,Monday,GO FIRST,G8-2501,Economy,Delhi,Before 6 AM,non-stop,Before 6 AM,Mumbai,2.1667,1.0,8055.0
2023-01-16,Monday,GO FIRST,G8-334,Economy,Delhi,6 AM - 12 PM,non-stop,6 AM - 12 PM,Mumbai,2.1667,1.0,8055.0
2023-01-16,Monday,Indigo,6E-2411,Economy,Delhi,6 AM - 12 PM,1-stop,6 AM - 12 PM,Mumbai,4.5833,1.0,8100.0
2023-01-16,Monday,Vistara,UK-811,Economy,Delhi,Before 6 AM,1-stop,After 6 PM,Mumbai,16.0833,1.0,8491.0
2023-01-16,Monday,Vistara,UK-635,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,27.0833,1.0,8580.0
2023-01-16,Monday,Air India,AI-504,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,11.4167,1.0,8297.0
2023-01-16,Monday,Indigo,6E-5218,Economy,Delhi,6 AM - 12 PM,non-stop,6 AM - 12 PM,Mumbai,2.25,1.0,8579.0
2023-01-16,Monday,Indigo,6E-2328,Economy,Delhi,6 AM - 12 PM,non-stop,12 PM - 6 PM,Mumbai,2.5833,1.0,8894.0
2023-01-16,Monday,Indigo,6E-2025,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,6.1667,1.0,8999.0
2023-01-16,Monday,Vistara,UK-807,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,11.6667,1.0,9331.0
2023-01-16,Monday,Vistara,UK-809,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,12.4167,1.0,9331.0
2023-01-16,Monday,AkasaAir,QP-1128,Economy,Delhi,12 PM - 6 PM,non-stop,After 6 PM,Mumbai,2.1667,1.0,9040.0
2023-01-16,Monday,Air India,AI-815,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,5.9167,1.0,9137.0
2023-01-16,Monday,Air India,AI-807,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,6.4167,1.0,9137.0
2023-01-16,Monday,Air India,AI-883,Economy,Delhi,After 6 PM,1-stop,Before 6 AM,Mumbai,26.3333,1.0,9349.0
2023-01-16,Monday,Indigo,6E-2526,Economy,Delhi,6 AM - 12 PM,non-stop,6 AM - 12 PM,Mumbai,2.4167,1.0,9419.0
2023-01-16,Monday,Air India,AI-443,Economy,Delhi,Before 6 AM,1-stop,6 AM - 12 PM,Mumbai,5.0833,1.0,9566.0
2023-01-16,Monday,Vistara,UK-981,Economy,Delhi,After 6 PM,non-stop,After 6 PM,Mumbai,2.0,1.0,10155.0
2023-01-16,Monday,Vistara,UK-977,Economy,Delhi,After 6 PM,non-stop,After 6 PM,Mumbai,2.25,1.0,10155.0
2023-01-16,Monday,Vistara,UK-957,Economy,Delhi,After 6 PM,non-stop,After 6 PM,Mumbai,2.25,1.0,10155.0
2023-01-16,Monday,Air India,AI-471,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,4.8333,1.0,9840.0
2023-01-16,Monday,GO FIRST,G8-119,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,13.5,1.0,10210.0
2023-01-16,Monday,SpiceJet,SG-8701,Economy,Delhi,6 AM - 12 PM,non-stop,6 AM - 12 PM,Mumbai,2.25,1.0,10573.0
2023-01-16,Monday,Air India,AI-558,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,12.5,1.0,10281.0
2023-01-16,Monday,AirAsia,I5-745,Economy,Delhi,12 PM - 6 PM,2+-stop,Before 6 AM,Mumbai,14.75,1.0,10882.0
2023-01-16,Monday,Air India,AI-811,Economy,Delhi,After 6 PM,1-stop,12 PM - 6 PM,Mumbai,21.75,1.0,10785.0
2023-01-16,Monday,Air India,AI-537,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,7.5,1.0,10995.0
2023-01-16,Monday,Air India,AI-554,Economy,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,11.8333,1.0,10995.0
2023-01-16,Monday,Vistara,UK-855,Economy,Delhi,After 6 PM,1-stop,12 PM - 6 PM,Mumbai,20.0833,1.0,11415.0
2023-01-16,Monday,Air India,AI-439,Economy,Delhi,Before 6 AM,1-stop,12 PM - 6 PM,Mumbai,11.5833,1.0,11121.0
2023-01-16,Monday,Air India,AI-485,Economy,Delhi,Before 6 AM,1-stop,12 PM - 6 PM,Mumbai,10.9167,1.0,12360.0
2023-01-16,Monday,Air India,AI-544,Economy,Delhi,12 PM - 6 PM,1-stop,Before 6 AM,Mumbai,7.25,1.0,11205.0
2023-01-16,Monday,Air India,AI-415,Economy,Delhi,12 PM - 6 PM,1-stop,12 PM - 6 PM,Mumbai,24.5,1.0,12286.0
2023-01-16,Monday,Vistara,UK-933,Economy,Delhi,12 PM - 6 PM,non-stop,12 PM - 6 PM,Mumbai,2.0833,1.0,11730.0
2023-01-16,Monday,Vistara,UK-941,Economy,Delhi,12 PM - 6 PM,non-stop,After 6 PM,Mumbai,2.5,1.0,11730.0
2023-01-16,Monday,Indigo,6E-5345,Economy,Delhi,Before 6 AM,1-stop,12 PM - 6 PM,Mumbai,9.0833,1.0,11500.0
2023-01-16,Monday,GO FIRST,G8-194,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,10.5,1.0,11546.0
2023-01-16,Monday,GO FIRST,G8-286,Economy,Delhi,6 AM - 12 PM,1-stop,Before 6 AM,Mumbai,14.5833,1.0,11546.0
2023-01-16,Monday,Air India,AI-885,Economy,Delhi,6 AM - 12 PM,1-stop,Before 6 AM,Mumbai,13.4167,1.0,11625.0
2023-01-16,Monday,Air India,AI-540,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,11.5,1.0,11646.0
2023-01-16,Monday,Air India,AI-429,Economy,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,12.5,1.0,11646.0
2023-01-16,Monday,Air India,AI-887,Economy,Delhi,6 AM - 12 PM,non-stop,6 AM - 12 PM,Mumbai,2.25,1.0,11730.0
2023-01-16,Monday,Air India,AI-451,Economy,Delhi,12 PM - 6 PM,1-stop,12 PM - 6 PM,Mumbai,25.75,1.0,11856.0
2023-01-16,Monday,Vistara,UK-833,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,6.8333,1.0,12293.0
2023-01-16,Monday,Indigo,6E-6822,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,8.6667,1.0,11992.0
2023-01-16,Monday,Air India,AI-839,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,12.4167,1.0,12045.0
2023-01-16,Monday,Vistara,UK-817,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,5.5833,1.0,12481.0
2023-01-16,Monday,Indigo,6E-2033,Economy,Delhi,After 6 PM,1-stop,Before 6 AM,Mumbai,6.1667,1.0,12274.0
2023-01-16,Monday,Vistara,UK-829,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,9.5833,1.0,13409.0
2023-01-16,Monday,Indigo,6E-2216,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,8.4167,1.0,13199.0
2023-01-16,Monday,Indigo,6E-607,Economy,Delhi,After 6 PM,1-stop,Before 6 AM,Mumbai,7.8333,1.0,13499.0
2023-01-16,Monday,Vistara,UK-943,Economy,Delhi,6 AM - 12 PM,non-stop,6 AM - 12 PM,Mumbai,2.1667,1.0,13830.0
2023-01-16,Monday,Vistara,UK-993,Economy,Delhi,12 PM - 6 PM,non-stop,12 PM - 6 PM,Mumbai,2.1667,1.0,13830.0
2023-01-16,Monday,Vistara,UK-955,Economy,Delhi,12 PM - 6 PM,non-stop,After 6 PM,Mumbai,2.1667,1.0,13830.0
2023-01-16,Monday,Vistara,UK-945,Economy,Delhi,6 AM - 12 PM,non-stop,12 PM - 6 PM,Mumbai,2.25,1.0,13830.0
2023-01-16,Monday,Vistara,UK-963,Economy,Delhi,6 AM - 12 PM,non-stop,6 AM - 12 PM,Mumbai,2.3333,1.0,13830.0
2023-01-16,Monday,Vistara,UK-673,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,5.1667,1.0,13830.0
2023-01-16,Monday,Vistara,UK-879,Economy,Delhi,12 PM - 6 PM,1-stop,6 AM - 12 PM,Mumbai,14.6667,1.0,13935.0
2023-01-16,Monday,Vistara,UK-781,Economy,Delhi,12 PM - 6 PM,1-stop,6 AM - 12 PM,Mumbai,17.25,1.0,13935.0
2023-01-16,Monday,Vistara,UK-859,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,6.4167,1.0,14249.0
2023-01-16,Monday,Indigo,6E-153,Economy,Delhi,After 6 PM,1-stop,Before 6 AM,Mumbai,9.5,1.0,14039.0
2023-01-16,Monday,Indigo,6E-319,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,6.25,1.0,14197.0
2023-01-16,Monday,Indigo,6E-5615,Economy,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,10.0,1.0,14197.0
2023-01-16,Monday,Air India,AI-453,Economy,Delhi,Before 6 AM,1-stop,12 PM - 6 PM,Mumbai,12.9167,1.0,14315.0
2023-01-16,Monday,Indigo,6E-123,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,4.5,1.0,14407.0
2023-01-16,Monday,Vistara,UK-813,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,5.8333,1.0,15106.0
2023-01-16,Monday,Air India,AI-473,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,17.25,1.0,16770.0
2023-01-16,Monday,Indigo,6E-5603,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,4.8333,1.0,15299.0
2023-01-16,Monday,Vistara,UK-927,Economy,Delhi,6 AM - 12 PM,non-stop,6 AM - 12 PM,Mumbai,2.0833,1.0,15930.0
2023-01-16,Monday,Vistara,UK-929,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,8.9167,1.0,16067.0
2023-01-16,Monday,Air India,AI-665,Economy,Delhi,6 AM - 12 PM,non-stop,6 AM - 12 PM,Mumbai,2.3333,1.0,15930.0
2023-01-16,Monday,GO FIRST,G8-101,Economy,Delhi,Before 6 AM,1-stop,After 6 PM,Mumbai,13.75,1.0,16607.0
2023-01-16,Monday,Indigo,6E-6231,Economy,Delhi,Before 6 AM,1-stop,6 AM - 12 PM,Mumbai,4.5,1.0,16297.0
2023-01-16,Monday,GO FIRST,G8-713,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,12.25,1.0,16347.0
2023-01-16,Monday,Air India,AI-801,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,7.8333,1.0,17295.0
2023-01-16,Monday,Vistara,UK-839,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,8.8333,1.0,17421.0
2023-01-16,Monday,GO FIRST,G8-719,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,10.25,1.0,17612.0
2023-01-16,Monday,Air India,AI-833,Economy,Delhi,Before 6 AM,1-stop,After 6 PM,Mumbai,17.5,1.0,19293.0
2023-01-16,Monday,AirAsia,I5-711,Economy,Delhi,Before 6 AM,2+-stop,After 6 PM,Mumbai,15.25,1.0,18211.0
2023-01-16,Monday,Vistara,UK-747,Economy,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,13.8333,1.0,18765.0
2023-01-16,Monday,Vistara,UK-819,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,6.0833,1.0,18833.0
2023-01-16,Monday,Vistara,UK-951,Economy,Delhi,12 PM - 6 PM,non-stop,12 PM - 6 PM,Mumbai,2.1667,1.0,19080.0
2023-01-16,Monday,Indigo,6E-6034,Economy,Delhi,Before 6 AM,1-stop,6 AM - 12 PM,Mumbai,5.0833,1.0,19720.0
2023-01-16,Monday,GO FIRST,G8-717,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,5.0,1.0,19740.0
2023-01-16,Monday,Indigo,6E-2204,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,10.0,1.0,19867.0
2023-01-16,Monday,Vistara,UK-835,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,12.8333,1.0,21075.0
2023-01-16,Monday,Indigo,6E-6201,Economy,Delhi,After 6 PM,1-stop,After 6 PM,Mumbai,4.9167,1.0,21400.0
2023-01-16,Monday,Vistara,UK-899,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,8.4167,1.0,22398.0
2023-01-16,Monday,Vistara,UK-959,Economy,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,12.25,1.0,22892.0
2023-01-16,Monday,Vistara,UK-969,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,12.25,1.0,22892.0
2023-01-16,Monday,Indigo,6E-6475,Economy,Delhi,6 AM - 12 PM,1-stop,6 AM - 12 PM,Mumbai,4.5833,1.0,22870.0
2023-01-16,Monday,Vistara,UK-737,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,7.75,1.0,23700.0
2023-01-16,Monday,Indigo,6E-7403,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,6.5,1.0,23542.0
2023-01-16,Monday,Vistara,UK-871,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,11.5833,1.0,24288.0
2023-01-16,Monday,Vistara,UK-979,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,5.3333,1.0,27480.0
2023-01-16,Monday,Air India,AI-865,Economy,Delhi,6 AM - 12 PM,non-stop,12 PM - 6 PM,Mumbai,2.4167,1.0,27344.0
2023-01-16,Monday,Indigo,6E-6492,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,5.3333,1.0,28500.0
2023-01-16,Monday,Indigo,6E-184,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,6.5,1.0,28500.0
2023-01-16,Monday,Vistara,UK-637,Premium Economy,Delhi,12 PM - 6 PM,1-stop,6 AM - 12 PM,Mumbai,18.5,1.0,13102.0
2023-01-16,Monday,Vistara,UK-706,Premium Economy,Delhi,12 PM - 6 PM,1-stop,6 AM - 12 PM,Mumbai,21.5,1.0,19710.0
2023-01-16,Monday,Vistara,UK-837,Premium Economy,Delhi,12 PM - 6 PM,1-stop,6 AM - 12 PM,Mumbai,18.1667,1.0,22006.0
2023-01-16,Monday,Vistara,UK-787,Premium Economy,Delhi,6 AM - 12 PM,1-stop,6 AM - 12 PM,Mumbai,24.75,1.0,27942.0
2023-01-16,Monday,Vistara,UK-785,Premium Economy,Delhi,6 AM - 12 PM,1-stop,6 AM - 12 PM,Mumbai,28.1667,1.0,27942.0
2023-01-16,Monday,Air India,AI-678,Business,Delhi,6 AM - 12 PM,non-stop,6 AM - 12 PM,Mumbai,2.3333,1.0,25612.0
2023-01-16,Monday,Air India,AI-441,Business,Delhi,12 PM - 6 PM,non-stop,After 6 PM,Mumbai,2.4167,1.0,25612.0
2023-01-16,Monday,Air India,AI-636,Business,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,3.75,1.0,25612.0
2023-01-16,Monday,Air India,AI-621,Business,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,4.9167,1.0,36342.0
2023-01-16,Monday,Air India,AI-433,Business,Delhi,6 AM - 12 PM,1-stop,6 AM - 12 PM,Mumbai,22.25,1.0,36525.0
2023-01-16,Monday,Air India,AI-411,Business,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,9.3333,1.0,40582.0
2023-01-16,Monday,Air India,AI-479,Business,Delhi,After 6 PM,1-stop,12 PM - 6 PM,Mumbai,20.6667,1.0,42252.0
2023-01-16,Monday,Air India,AI-463,Business,Delhi,12 PM - 6 PM,1-stop,12 PM - 6 PM,Mumbai,27.6667,1.0,42252.0
2023-01-16,Monday,Air India,AI-542,Business,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,5.1667,1.0,44450.0
2023-01-16,Monday,Air India,AI-560,Business,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,7.75,1.0,44450.0
2023-01-16,Monday,Air India,AI-425,Business,Delhi,Before 6 AM,1-stop,6 AM - 12 PM,Mumbai,26.3333,1.0,53822.0
2023-01-16,Monday,Air India,AI-506,Business,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,11.75,1.0,58025.0
2023-01-16,Monday,Air India,AI-803,Business,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,15.3333,1.0,58025.0
2023-01-16,Monday,Air India,AI-502,Business,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,8.0,1.0,58025.0
2023-01-16,Monday,Vistara,UK-995,Business,Delhi,6 AM - 12 PM,non-stop,12 PM - 6 PM,Mumbai,2.25,1.0,56860.0
2023-01-16,Monday,Vistara,UK-705,Business,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,5.5,1.0,62057.0
2023-01-16,Monday,Vistara,UK-847,Business,Delhi,6 AM - 12 PM,1-stop,Before 6 AM,Mumbai,13.0833,1.0,63418.0
2023-01-16,Monday,Air India,AI-406,Business,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,5.5833,1.0,67366.0
2023-01-16,Monday,Vistara,UK-815,Business,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,12.0833,1.0,66621.0
2023-01-16,Monday,Vistara,UK-801,Business,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,14.25,1.0,87627.0
2023-01-17,Tuesday,GO FIRST,G8-530,Economy,Delhi,6 AM - 12 PM,non-stop,6 AM - 12 PM,Mumbai,2.1667,2.0,5899.0
2023-01-17,Tuesday,AirAsia,I5-548,Economy,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,12.75,2.0,6872.0
2023-01-17,Tuesday,Indigo,6E-2117,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,5.6667,2.0,7062.0
2023-01-17,Tuesday,Vistara,UK-975,Economy,Delhi,Before 6 AM,non-stop,6 AM - 12 PM,Mumbai,2.25,2.0,7635.0
2023-01-17,Tuesday,Air India,AI-512,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,16.0833,2.0,9137.0
2023-01-17,Tuesday,Indigo,6E-902,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,6.25,2.0,10837.0
2023-01-17,Tuesday,Indigo,6E-2049,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,4.5,2.0,12786.0
2023-01-17,Tuesday,Air India,AI-401,Economy,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,12.6667,2.0,15090.0
2023-01-17,Tuesday,Air India,AI-767,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,7.3333,2.0,15720.0
2023-01-17,Tuesday,Indigo,6E-6187,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,4.75,2.0,16643.0
2023-01-17,Tuesday,Vistara,UK-707,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,6.0833,2.0,20550.0
2023-01-17,Tuesday,GO FIRST,G8-213,Economy,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,6.3333,2.0,27713.0
2023-01-17,Tuesday,GO FIRST,G8-259,Economy,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,11.1667,2.0,28242.0
2023-01-17,Tuesday,Air India,AI-877,Business,Delhi,6 AM - 12 PM,1-stop,6 AM - 12 PM,Mumbai,24.8333,2.0,45459.0
2023-01-17,Tuesday,Air India,AI-465,Business,Delhi,12 PM - 6 PM,1-stop,6 AM - 12 PM,Mumbai,17.5,2.0,54589.0
2023-01-17,Tuesday,Vistara,UK-727,Business,Delhi,After 6 PM,1-stop,12 PM - 6 PM,Mumbai,16.5,2.0,88377.0
2023-01-18,Wednesday,SpiceJet,SG-8241,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,4.1667,3.0,6213.0
2023-01-18,Wednesday,Air India,AI-475,Economy,Delhi,12 PM - 6 PM,1-stop,12 PM - 6 PM,Mumbai,24.8333,3.0,9492.0
2023-01-18,Wednesday,Indigo,6E-6103,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,10.0833,3.0,10102.0
2023-01-18,Wednesday,Indigo,6E-6184,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,6.0,3.0,15719.0
2023-01-18,Wednesday,Air India,AI-762,Economy,Delhi,After 6 PM,1-stop,12 PM - 6 PM,Mumbai,16.4167,3.0,15825.0
2023-01-18,Wednesday,Air India,AI-481,Economy,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,13.5833,3.0,19710.0
