flight_num,from,to
G8-2501,Delhi,Mumbai
6E-171,Delhi,Mumbai
I5-788,Delhi,Mumbai
G8-211,Delhi,Mumbai
G8-7553,Delhi,Mumbai
G8-2509,Delhi,Mumbai
G8-194,Delhi,Mumbai
G8-2609,Delhi,Mumbai
6E-2042,Delhi,Mumbai
G8-713,Delhi,Mumbai
I5-798,Delhi,Mumbai
I5-775,Delhi,Mumbai
G8-7541,Delhi,Mumbai
G8-2403,Delhi,Mumbai
G8-203,Delhi,Mumbai
G8-209,Delhi,Mumbai
AI-837,Delhi,Mumbai
I5-881,Delhi,Mumbai
6E-5329,Delhi,Mumbai
6E-2081,Delhi,Mumbai
6E-573,Delhi,Mumbai
AI-491,Delhi,Mumbai
AI-883,Delhi,Mumbai
AI-9609,Delhi,Mumbai
AI-9015,Delhi,Mumbai
SG-9974,Delhi,Mumbai
AI-9017,Delhi,Mumbai
6E-865,Delhi,Mumbai
I5-735,Delhi,Mumbai
6E-2033,Delhi,Mumbai
6E-6245,Delhi,Mumbai
6E-5042,Delhi,Mumbai
SG-8723,Delhi,Mumbai
SG-8701,Delhi,Mumbai
6E-2519,Delhi,Mumbai
6E-153,Delhi,Mumbai
6E-5026,Delhi,Mumbai
6E-5087,Delhi,Mumbai
6E-736,Delhi,Mumbai
AI-861,Delhi,Mumbai
6E-6939,Delhi,Mumbai
6E-6231,Delhi,Mumbai
AI-437,Delhi,Mumbai
6E-212,Delhi,Mumbai
6E-7336,Delhi,Mumbai
6E-6098,Delhi,Mumbai
6E-698,Delhi,Mumbai
UK-812,Delhi,Mumbai
AI-641,Delhi,Mumbai
SG-2643,Delhi,Mumbai
G8-268,Delhi,Mumbai
G8-207,Delhi,Mumbai
G8-404,Delhi,Mumbai
6E-7348,Delhi,Mumbai
6E-2274,Delhi,Mumbai
G8-105,Delhi,Mumbai
G8-2511,Delhi,Mumbai
G8-143,Delhi,Mumbai
6E-2176,Delhi,Mumbai
6E-864,Delhi,Mumbai
G8-108,Delhi,Mumbai
AI-407,Delhi,Mumbai
AI-487,Delhi,Mumbai
G8-107,Delhi,Mumbai
UK-671,Delhi,Mumbai
SG-191,Delhi,Bangalore
I5-1529,Delhi,Bangalore
UK-815,Delhi,Bangalore
UK-801,Delhi,Bangalore
UK-819,Delhi,Bangalore
UK-817,Delhi,Bangalore
UK-813,Delhi,Bangalore
6E-2026,Delhi,Bangalore
6E-5175,Delhi,Bangalore
6E-2188,Delhi,Bangalore
6E-654,Delhi,Bangalore
6E-2028,Delhi,Bangalore
AI-803,Delhi,Bangalore
AI-506,Delhi,Bangalore
AI-502,Delhi,Bangalore
AI-504,Delhi,Bangalore
I5-548,Delhi,Bangalore
